날짜,키워드,노출수,클릭수,클릭률,클릭비용,총비용,전환수,전화율
2023-01-01,재활용 방법,1685,1041,1.6186359269932757,76,79116,1203,0.8653366583541147
2023-01-01,재활용 센터,3957,3330,1.1882882882882884,52,173160,1529,2.1778940483976457
2023-01-01,재활용 분리 배출,7526,1113,6.761904761904762,41,45633,458,2.430131004366812
2023-01-01,재활용 통계,8183,2468,3.315640194489465,99,244332,90,27.42222222222222
2023-01-01,플라스틱 재활용,6271,1660,3.777710843373494,144,239040,789,2.1039290240811153
2023-01-01,재활용 쓰레기,6069,2193,2.7674418604651163,32,70176,202,10.856435643564357
2023-01-01,재활용 아이디어,4492,4264,1.053470919324578,97,413608,168,25.38095238095238
2023-01-01,재활용 교육,2852,1688,1.6895734597156398,103,173864,2037,0.8286696121747669
2023-01-01,재활용 법률,2479,511,4.851272015655577,26,13286,2676,0.19095665171898354
2023-01-02,재활용 아이디어,9221,5033,1.8321080866282535,115,578795,3075,1.6367479674796748
2023-01-03,재활용 쓰레기,7270,2584,2.8134674922600618,23,59432,2679,0.9645390070921985
2023-01-03,재활용 센터,170,135,1.2592592592592593,128,17280,587,0.22998296422487224
2023-01-03,재활용 아이디어,7851,4792,1.638355592654424,76,364192,2308,2.0762564991334487
2023-01-04,플라스틱 재활용,7187,404,17.78960396039604,160,64640,2057,0.1964025279533301
2023-01-05,플라스틱 재활용,2202,1772,1.242663656884876,173,306556,814,2.176904176904177
2023-01-05,재활용 쓰레기,2333,1704,1.369131455399061,90,153360,1091,1.5618698441796517
2023-01-05,재활용 아이디어,4705,4358,1.0796236805874255,139,605762,115,37.89565217391304
2023-01-05,재활용 센터,4370,2068,2.113152804642166,164,339152,1358,1.5228276877761413
2023-01-05,재활용 교육,4004,3537,1.1320327961549335,66,233442,2007,1.7623318385650224
2023-01-05,재활용 분리 배출,7110,4787,1.4852726133277627,50,239350,3068,1.5602998696219035
2023-01-05,재활용 법률,4575,1930,2.3704663212435233,125,241250,2026,0.9526159921026653
2023-01-05,재활용의 중요성,5568,743,7.4939434724091525,72,53496,241,3.08298755186722
2023-01-06,재활용 아이디어,656,278,2.3597122302158273,11,3058,1368,0.20321637426900585
2023-01-07,재활용의 중요성,7574,4309,1.757716407519146,139,598951,2655,1.622975517890772
2023-01-07,플라스틱 재활용,3621,1834,1.974372955288986,12,22008,60,30.566666666666666
2023-01-07,재활용 방법,1221,751,1.625832223701731,80,60080,464,1.6185344827586208
2023-01-07,재활용 교육,7299,323,22.597523219814242,121,39083,1957,0.1650485436893204
2023-01-07,재활용 법률,6582,3481,1.8908359666762424,16,55696,2792,1.2467765042979944
2023-01-07,재활용 아이디어,7521,7400,1.0163513513513514,138,1021200,351,21.08262108262108
2023-01-07,재활용 센터,3907,11,355.1818181818182,166,1826,885,0.012429378531073447
2023-01-07,재활용 분리 배출,478,350,1.3657142857142857,25,8750,1363,0.25678650036683787
2023-01-08,재활용의 중요성,1271,1084,1.1725092250922509,157,170188,777,1.3951093951093951
2023-01-08,재활용 아이디어,8133,8130,1.000369003690037,9,73170,1232,6.599025974025974
2023-01-08,재활용 분리 배출,3337,2381,1.4015119697606049,77,183337,275,8.658181818181818
2023-01-08,재활용 법률,9291,6204,1.4975822050290135,168,1042272,2498,2.4835868694955963
2023-01-08,재활용 통계,5754,4648,1.2379518072289157,200,929600,491,9.466395112016293
2023-01-08,재활용 방법,5309,3356,1.581942789034565,159,533604,1354,2.478581979320532
2023-01-08,재활용 교육,283,130,2.1769230769230767,182,23660,2518,0.051628276409849086
2023-01-08,재활용 쓰레기,2481,289,8.584775086505191,57,16473,2321,0.12451529513140888
2023-01-08,플라스틱 재활용,65,6,10.833333333333334,194,1164,2994,0.002004008016032064
2023-01-09,재활용 교육,1418,251,5.649402390438247,73,18323,1363,0.18415260454878943
2023-01-09,재활용 방법,9860,4202,2.3465016658733937,199,836198,416,10.100961538461538
2023-01-10,재활용 아이디어,2275,302,7.533112582781457,131,39562,1787,0.1689983212087297
2023-01-10,재활용 법률,9363,4236,2.210339943342776,170,720120,2753,1.5386850708318198
2023-01-10,재활용 센터,1808,1406,1.2859174964438123,20,28120,2822,0.4982282069454288
2023-01-10,재활용 통계,1617,269,6.011152416356877,133,35777,1893,0.1421024828314844
2023-01-10,재활용 교육,3938,1714,2.2975495915986,108,185112,2496,0.686698717948718
2023-01-10,재활용 쓰레기,974,432,2.2546296296296298,57,24624,1,432.0
2023-01-10,재활용 분리 배출,275,171,1.608187134502924,27,4617,279,0.6129032258064516
2023-01-10,재활용의 중요성,4488,3785,1.1857331571994716,63,238455,2702,1.4008142116950406
2023-01-10,재활용 방법,634,344,1.8430232558139534,34,11696,2419,0.14220752377015294
2023-01-10,플라스틱 재활용,7253,6098,1.1894063627418825,179,1091542,1054,5.785578747628083
2023-01-11,재활용 분리 배출,9834,467,21.05781584582441,138,64446,2545,0.18349705304518665
2023-01-12,재활용 통계,5138,61,84.22950819672131,135,8235,2066,0.02952565343659245
2023-01-12,재활용 법률,1086,490,2.216326530612245,33,16170,1732,0.28290993071593534
2023-01-12,재활용 쓰레기,7575,884,8.569004524886878,46,40664,2506,0.35275339185953714
2023-01-12,재활용 아이디어,3535,2281,1.5497588776852258,166,378646,1924,1.1855509355509355
2023-01-12,재활용 교육,4307,4110,1.0479318734793188,60,246600,2689,1.5284492376348084
2023-01-12,재활용 센터,1559,238,6.550420168067227,105,24990,2525,0.09425742574257426
2023-01-13,재활용 통계,9715,694,13.998559077809798,136,94384,668,1.0389221556886228
2023-01-13,재활용 쓰레기,6726,6612,1.0172413793103448,84,555408,181,36.530386740331494
2023-01-13,재활용 방법,9790,1152,8.49826388888889,135,155520,1899,0.6066350710900474
2023-01-13,재활용 분리 배출,4532,3996,1.1341341341341342,84,335664,1885,2.119893899204244
2023-01-14,재활용 교육,9104,5234,1.7393962552541078,91,476294,1,5234.0
2023-01-15,재활용 통계,1810,831,2.1780986762936223,178,147918,2633,0.31560957083175084
2023-01-15,재활용의 중요성,6628,891,7.438832772166106,70,62370,2902,0.30702963473466577
2023-01-15,재활용 분리 배출,7699,887,8.679819616685457,30,26610,869,1.0207134637514383
2023-01-15,재활용 법률,7266,4800,1.51375,32,153600,3044,1.5768725361366622
2023-01-15,재활용 교육,9983,2879,3.4675234456408477,93,267747,925,3.1124324324324326
2023-01-15,재활용 센터,1529,693,2.2063492063492065,33,22869,1326,0.5226244343891403
2023-01-15,재활용 방법,6115,4017,1.5222803086880756,6,24102,304,13.213815789473685
2023-01-15,재활용 아이디어,2223,1822,1.2200878155872668,12,21864,1278,1.4256651017214397
